Date,CPI,Unemployment Rate,10-year Treasury
2010-05-04,0.025858274221191763,9.580645161290322,3.63
2010-05-05,0.02565040084907582,9.574193548387097,3.58
2010-05-06,0.025442527476959874,9.567741935483872,3.41
2010-05-07,0.025234654104843927,9.561290322580644,3.45
2010-05-08,0.025026780732727984,9.55483870967742,3.45
2010-05-09,0.024818907360612038,9.548387096774194,3.57
2010-05-10,0.024611033988496095,9.541935483870967,3.57
2010-05-11,0.02440316061638015,9.535483870967742,3.56
2010-05-12,0.024195287244264202,9.529032258064516,3.56
2010-05-13,0.02398741387214826,9.522580645161291,3.55
2010-05-14,0.023779540500032312,9.516129032258064,3.44
2010-05-15,0.02357166712791637,9.509677419354839,3.44
2010-05-16,0.023363793755800423,9.503225806451614,3.47
2010-05-17,0.023155920383684477,9.496774193548386,3.47
2010-05-18,0.022948047011568534,9.490322580645161,3.38
2010-05-19,0.022740173639452587,9.483870967741936,3.36
2010-05-20,0.022532300267336644,9.477419354838709,3.25
2010-05-21,0.022324426895220698,9.470967741935484,3.2
2010-05-22,0.02211655352310475,9.464516129032258,3.2
2010-05-23,0.021908680150988805,9.458064516129033,3.23
2010-05-24,0.02170080677887286,9.451612903225806,3.23
2010-05-25,0.02149293340675692,9.44516129032258,3.18
2010-05-26,0.021285060034640972,9.438709677419356,3.21
2010-05-27,0.021077186662525026,9.432258064516128,3.34
2010-05-28,0.02086931329040908,9.425806451612903,3.31
2010-05-29,0.020661439918293136,9.419354838709678,3.31
2010-05-30,0.02045356654617719,9.412903225806453,3.3
2010-05-31,0.020245693174061247,9.406451612903226,3.3
2010-06-01,0.0200378198019453,9.4,3.29
2010-06-02,0.02113505225303897,9.4,3.35
2010-06-03,0.02223228470413264,9.4,3.39
2010-06-04,0.02332951715522631,9.4,3.2
2010-06-05,0.024426749606319978,9.4,3.2
2010-06-06,0.02552398205741365,9.4,3.17
2010-06-07,0.02662121450850732,9.4,3.17
2010-06-08,0.02771844695960099,9.4,3.18
2010-06-09,0.02881567941069466,9.4,3.2
2010-06-10,0.02991291186178833,9.4,3.33
2010-06-11,0.031010144312881998,9.4,3.24
2010-06-12,0.03210737676397567,9.4,3.24
2010-06-13,0.03320460921506934,9.4,3.28
2010-06-14,0.034301841666163006,9.4,3.28
2010-06-15,0.03539907411725668,9.4,3.32
2010-06-16,0.036496306568350345,9.4,3.27
2010-06-17,0.03759353901944402,9.4,3.21
2010-06-18,0.03869077147053769,9.4,3.24
2010-06-19,0.03978800392163136,9.4,3.24
2010-06-20,0.04088523637272502,9.4,3.26
2010-06-21,0.041982468823818696,9.4,3.26
2010-06-22,0.04307970127491237,9.4,3.18
2010-06-23,0.044176933726006035,9.4,3.13
2010-06-24,0.04527416617709971,9.4,3.14
2010-06-25,0.04637139862819338,9.4,3.12
2010-06-26,0.047468631079287046,9.4,3.12
2010-06-27,0.04856586353038071,9.4,3.05
2010-06-28,0.049663095981474385,9.4,3.05
2010-06-29,0.05076032843256806,9.4,2.97
2010-06-30,0.051857560883661724,9.4,2.97
2010-07-01,0.0529547933347554,9.4,2.96
2010-07-02,0.05320864726573779,9.403225806451614,3.0
2010-07-03,0.053462501196720184,9.406451612903226,3.0
2010-07-04,0.05371635512770258,9.40967741935484,2.975
2010-07-05,0.05397020905868497,9.412903225806453,2.975
2010-07-06,0.054224062989667365,9.416129032258064,2.95
2010-07-07,0.05447791692064976,9.419354838709678,3.0
2010-07-08,0.05473177085163215,9.422580645161291,3.04
2010-07-09,0.054985624782614546,9.425806451612903,3.07
2010-07-10,0.05523947871359694,9.429032258064517,3.07
2010-07-11,0.055493332644579334,9.432258064516128,3.08
2010-07-12,0.05574718657556173,9.435483870967742,3.08
2010-07-13,0.05600104050654412,9.438709677419356,3.15
2010-07-14,0.056254894437526515,9.441935483870967,3.07
2010-07-15,0.05650874836850891,9.44516129032258,3.0
2010-07-16,0.0567626022994913,9.448387096774194,2.96
2010-07-17,0.057016456230473696,9.451612903225806,2.96
2010-07-18,0.05727031016145609,9.45483870967742,2.99
2010-07-19,0.05752416409243848,9.458064516129033,2.99
2010-07-20,0.05777801802342088,9.461290322580645,2.98
2010-07-21,0.05803187195440327,9.464516129032258,2.9
2010-07-22,0.058285725885385664,9.467741935483872,2.96
2010-07-23,0.05853957981636806,9.470967741935484,3.02
2010-07-24,0.05879343374735045,9.474193548387097,3.02
2010-07-25,0.059047287678332845,9.477419354838709,3.03
2010-07-26,0.05930114160931524,9.480645161290322,3.03
2010-07-27,0.05955499554029763,9.483870967741936,3.08
2010-07-28,0.059808849471280026,9.487096774193548,3.03
2010-07-29,0.06006270340226242,9.490322580645161,3.03
2010-07-30,0.060316557333244813,9.493548387096775,2.94
2010-07-31,0.06057041126422721,9.496774193548386,2.94
2010-08-01,0.0608242651952096,9.5,2.99
2010-08-02,0.06232148087436878,9.5,2.99
2010-08-03,0.06381869655352795,9.5,2.94
2010-08-04,0.06531591223268712,9.5,2.98
2010-08-05,0.06681312791184629,9.5,2.94
2010-08-06,0.06831034359100548,9.5,2.86
2010-08-07,0.06980755927016465,9.5,2.86
2010-08-08,0.07130477494932382,9.5,2.86
2010-08-09,0.072801990628483,9.5,2.86
2010-08-10,0.07429920630764217,9.5,2.79
2010-08-11,0.07579642198680134,9.5,2.72
2010-08-12,0.07729363766596051,9.5,2.74
2010-08-13,0.07879085334511969,9.5,2.68
2010-08-14,0.08028806902427886,9.5,2.68
2010-08-15,0.08178528470343804,9.5,2.58
2010-08-16,0.08328250038259721,9.5,2.58
2010-08-17,0.08477971606175638,9.5,2.64
2010-08-18,0.08627693174091555,9.5,2.64
2010-08-19,0.08777414742007474,9.5,2.58
2010-08-20,0.0892713630992339,9.5,2.62
2010-08-21,0.09076857877839309,9.5,2.62
2010-08-22,0.09226579445755226,9.5,2.6
2010-08-23,0.09376301013671143,9.5,2.6
2010-08-24,0.0952602258158706,9.5,2.5
2010-08-25,0.09675744149502978,9.5,2.54
2010-08-26,0.09825465717418895,9.5,2.5
2010-08-27,0.09975187285334813,9.5,2.66
2010-08-28,0.1012490885325073,9.5,2.66
2010-08-29,0.10274630421166647,9.5,2.54
2010-08-30,0.10424351989082564,9.5,2.54
2010-08-31,0.10574073556998483,9.5,2.47
2010-09-01,0.107237951249144,9.5,2.58
2010-09-02,0.1074313553401409,9.496666666666666,2.63
2010-09-03,0.10762475943113779,9.493333333333334,2.72
2010-09-04,0.10781816352213469,9.49,2.72
2010-09-05,0.10801156761313159,9.486666666666666,2.665
2010-09-06,0.10820497170412849,9.483333333333334,2.665
2010-09-07,0.1083983757951254,9.48,2.61
2010-09-08,0.1085917798861223,9.476666666666667,2.66
2010-09-09,0.1087851839771192,9.473333333333333,2.77
2010-09-10,0.1089785880681161,9.47,2.81
2010-09-11,0.109171992159113,9.466666666666667,2.81
2010-09-12,0.1093653962501099,9.463333333333333,2.74
2010-09-13,0.1095588003411068,9.46,2.74
2010-09-14,0.10975220443210369,9.456666666666667,2.68
2010-09-15,0.10994560852310059,9.453333333333333,2.74
2010-09-16,0.1101390126140975,9.45,2.77
2010-09-17,0.1103324167050944,9.446666666666667,2.75
2010-09-18,0.1105258207960913,9.443333333333333,2.75
2010-09-19,0.1107192248870882,9.44,2.72
2010-09-20,0.1109126289780851,9.436666666666667,2.72
2010-09-21,0.111106033069082,9.433333333333334,2.61
2010-09-22,0.1112994371600789,9.43,2.56
2010-09-23,0.1114928412510758,9.426666666666668,2.56
2010-09-24,0.11168624534207269,9.423333333333334,2.62
2010-09-25,0.11187964943306959,9.42,2.62
2010-09-26,0.11207305352406649,9.416666666666668,2.54
2010-09-27,0.1122664576150634,9.413333333333334,2.54
2010-09-28,0.1124598617060603,9.41,2.48
2010-09-29,0.1126532657970572,9.406666666666666,2.52
2010-09-30,0.1128466698880541,9.403333333333334,2.53
2010-10-01,0.113040073979051,9.4,2.54
2010-10-02,0.11377153995743641,9.412903225806453,2.54
2010-10-03,0.11450300593582184,9.425806451612903,2.5
2010-10-04,0.11523447191420726,9.438709677419356,2.5
2010-10-05,0.11596593789259267,9.451612903225806,2.5
2010-10-06,0.1166974038709781,9.464516129032258,2.41
2010-10-07,0.11742886984936352,9.47741935483871,2.41
2010-10-08,0.11816033582774893,9.490322580645161,2.41
2010-10-09,0.11889180180613436,9.503225806451614,2.41
2010-10-10,0.11962326778451977,9.516129032258066,2.425
2010-10-11,0.12035473376290519,9.529032258064516,2.425
2010-10-12,0.12108619974129062,9.541935483870969,2.44
2010-10-13,0.12181766571967603,9.55483870967742,2.46
2010-10-14,0.12254913169806145,9.567741935483872,2.52
2010-10-15,0.12328059767644686,9.580645161290324,2.59
2010-10-16,0.12401206365483229,9.593548387096774,2.59
2010-10-17,0.1247435296332177,9.606451612903227,2.52
2010-10-18,0.12547499561160314,9.619354838709677,2.52
2010-10-19,0.12620646158998855,9.63225806451613,2.5
2010-10-20,0.12693792756837396,9.645161290322582,2.51
2010-10-21,0.12766939354675938,9.658064516129032,2.57
2010-10-22,0.1284008595251448,9.670967741935485,2.59
2010-10-23,0.1291323255035302,9.683870967741935,2.59
2010-10-24,0.12986379148191565,9.696774193548388,2.59
2010-10-25,0.13059525746030107,9.70967741935484,2.59
2010-10-26,0.13132672343868648,9.72258064516129,2.67
2010-10-27,0.1320581894170719,9.735483870967743,2.75
2010-10-28,0.1327896553954573,9.748387096774195,2.69
2010-10-29,0.13352112137384275,9.761290322580646,2.63
2010-10-30,0.13425258735222817,9.774193548387098,2.63
2010-10-31,0.13498405333061358,9.787096774193548,2.66
2010-11-01,0.135715519308999,9.8,2.66
2010-11-02,0.1355746050384133,9.783333333333333,2.63
2010-11-03,0.1354336907678276,9.766666666666667,2.67
2010-11-04,0.1352927764972419,9.75,2.53
2010-11-05,0.1351518622266562,9.733333333333334,2.58
2010-11-06,0.1350109479560705,9.716666666666667,2.58
2010-11-07,0.1348700336854848,9.700000000000001,2.6
2010-11-08,0.1347291194148991,9.683333333333334,2.6
2010-11-09,0.1345882051443134,9.666666666666668,2.72
2010-11-10,0.1344472908737277,9.65,2.65
2010-11-11,0.134306376603142,9.633333333333335,2.705
2010-11-12,0.1341654623325563,9.616666666666667,2.76
2010-11-13,0.13402454806197062,9.600000000000001,2.76
2010-11-14,0.1338836337913849,9.583333333333334,2.92
2010-11-15,0.13374271952079922,9.566666666666668,2.92
2010-11-16,0.1336018052502135,9.55,2.85
2010-11-17,0.1334608909796278,9.533333333333333,2.89
2010-11-18,0.1333199767090421,9.516666666666667,2.9
2010-11-19,0.1331790624384564,9.5,2.88
2010-11-20,0.1330381481678707,9.483333333333334,2.88
2010-11-21,0.132897233897285,9.466666666666667,2.8
2010-11-22,0.13275631962669932,9.450000000000001,2.8
2010-11-23,0.1326154053561136,9.433333333333334,2.77
2010-11-24,0.13247449108552792,9.416666666666668,2.93
2010-11-25,0.1323335768149422,9.4,2.9000000000000004
2010-11-26,0.13219266254435652,9.383333333333335,2.87
2010-11-27,0.1320517482737708,9.366666666666667,2.87
2010-11-28,0.13191083400318512,9.350000000000001,2.84
2010-11-29,0.1317699197325994,9.333333333333334,2.84
2010-11-30,0.13162900546201373,9.316666666666668,2.81
2010-12-01,0.131488091191428,9.3,2.97
2010-12-02,0.13267022301428005,9.293548387096775,3.01
2010-12-03,0.13385235483713206,9.287096774193548,3.03
2010-12-04,0.1350344866599841,9.280645161290323,3.03
2010-12-05,0.13621661848283614,9.274193548387098,2.95
2010-12-06,0.13739875030568818,9.26774193548387,2.95
2010-12-07,0.1385808821285402,9.261290322580646,3.15
2010-12-08,0.13976301395139223,9.25483870967742,3.26
2010-12-09,0.14094514577424427,9.248387096774193,3.23
2010-12-10,0.14212727759709629,9.241935483870968,3.32
2010-12-11,0.14330940941994832,9.235483870967743,3.32
2010-12-12,0.14449154124280036,9.229032258064516,3.29
2010-12-13,0.14567367306565238,9.22258064516129,3.29
2010-12-14,0.14685580488850442,9.216129032258065,3.49
2010-12-15,0.14803793671135645,9.209677419354838,3.53
2010-12-16,0.1492200685342085,9.203225806451613,3.47
2010-12-17,0.1504022003570605,9.196774193548388,3.33
2010-12-18,0.15158433217991255,9.190322580645162,3.33
2010-12-19,0.15276646400276458,9.183870967741935,3.36
2010-12-20,0.1539485958256166,9.17741935483871,3.36
2010-12-21,0.15513072764846864,9.170967741935485,3.35
2010-12-22,0.15631285947132068,9.164516129032258,3.36
2010-12-23,0.15749499129417271,9.158064516129032,3.41
2010-12-24,0.15867712311702473,9.151612903225807,3.385
2010-12-25,0.15985925493987677,9.14516129032258,3.385
2010-12-26,0.1610413867627288,9.138709677419355,3.36
2010-12-27,0.16222351858558082,9.13225806451613,3.36
2010-12-28,0.16340565040843286,9.125806451612902,3.5
2010-12-29,0.1645877822312849,9.119354838709677,3.35
2010-12-30,0.16576991405413694,9.112903225806452,3.38
2010-12-31,0.16695204587698895,9.106451612903225,3.3
2011-01-01,0.168134177699841,9.1,3.3
2011-01-02,0.1699094747876065,9.096774193548386,3.36
2011-01-03,0.171684771875372,9.093548387096774,3.36
2011-01-04,0.17346006896313754,9.09032258064516,3.36
2011-01-05,0.17523536605090306,9.087096774193547,3.5
2011-01-06,0.17701066313866856,9.083870967741936,3.44
2011-01-07,0.1787859602264341,9.080645161290322,3.34
2011-01-08,0.1805612573141996,9.077419354838709,3.34
2011-01-09,0.1823365544019651,9.074193548387097,3.32
2011-01-10,0.18411185148973064,9.070967741935483,3.32
2011-01-11,0.18588714857749616,9.067741935483872,3.37
2011-01-12,0.18766244566526166,9.064516129032258,3.4
2011-01-13,0.1894377427530272,9.061290322580644,3.34
2011-01-14,0.1912130398407927,9.058064516129033,3.35
2011-01-15,0.1929883369285582,9.05483870967742,3.35
2011-01-16,0.19476363401632374,9.051612903225806,3.37
2011-01-17,0.19653893110408924,9.048387096774194,3.37
2011-01-18,0.19831422819185476,9.04516129032258,3.39
2011-01-19,0.2000895252796203,9.041935483870967,3.37
2011-01-20,0.2018648223673858,9.038709677419355,3.47
2011-01-21,0.2036401194551513,9.035483870967742,3.44
2011-01-22,0.20541541654291684,9.032258064516128,3.44
2011-01-23,0.20719071363068234,9.029032258064516,3.43
2011-01-24,0.20896601071844786,9.025806451612903,3.43
2011-01-25,0.21074130780621336,9.022580645161291,3.35
2011-01-26,0.2125166048939789,9.019354838709678,3.45
2011-01-27,0.21429190198174441,9.016129032258064,3.42
2011-01-28,0.21606719906950994,9.012903225806452,3.36
2011-01-29,0.21784249615727544,9.009677419354839,3.36
2011-01-30,0.21961779324504097,9.006451612903225,3.42
2011-01-31,0.22139309033280646,9.003225806451614,3.42
2011-02-01,0.223168387420572,9.0,3.48
2011-02-02,0.22531971375121226,9.0,3.52
2011-02-03,0.22747104008185257,9.0,3.58
2011-02-04,0.22962236641249284,9.0,3.68
2011-02-05,0.23177369274313314,9.0,3.68
2011-02-06,0.23392501907377342,9.0,3.68
2011-02-07,0.2360763454044137,9.0,3.68
2011-02-08,0.238227671735054,9.0,3.75
2011-02-09,0.24037899806569427,9.0,3.65
2011-02-10,0.24253032439633457,9.0,3.7
2011-02-11,0.24468165072697484,9.0,3.64
2011-02-12,0.24683297705761514,9.0,3.64
2011-02-13,0.24898430338825542,9.0,3.62
2011-02-14,0.2511356297188957,9.0,3.62
2011-02-15,0.253286956049536,9.0,3.61
2011-02-16,0.2554382823801763,9.0,3.62
2011-02-17,0.25758960871081654,9.0,3.58
2011-02-18,0.25974093504145684,9.0,3.59
2011-02-19,0.26189226137209715,9.0,3.59
2011-02-20,0.2640435877027374,9.0,3.525
2011-02-21,0.2661949140333777,9.0,3.525
2011-02-22,0.268346240364018,9.0,3.46
2011-02-23,0.2704975666946583,9.0,3.49
2011-02-24,0.27264889302529854,9.0,3.46
2011-02-25,0.27480021935593885,9.0,3.42
2011-02-26,0.27695154568657915,9.0,3.42
2011-02-27,0.2791028720172194,9.0,3.42
2011-02-28,0.2812541983478597,9.0,3.42
2011-03-01,0.2834055246785,9.0,3.41
2011-03-02,0.28419527428001784,9.003225806451614,3.46
2011-03-03,0.2849850238815357,9.006451612903225,3.58
2011-03-04,0.2857747734830535,9.009677419354839,3.49
2011-03-05,0.28656452308457137,9.012903225806452,3.49
2011-03-06,0.2873542726860892,9.016129032258064,3.51
2011-03-07,0.28814402228760705,9.019354838709678,3.51
2011-03-08,0.2889337718891249,9.022580645161291,3.56
2011-03-09,0.2897235214906427,9.025806451612903,3.48
2011-03-10,0.2905132710921605,9.029032258064516,3.37
2011-03-11,0.29130302069367836,9.032258064516128,3.4
2011-03-12,0.2920927702951962,9.035483870967742,3.4
2011-03-13,0.29288251989671404,9.038709677419355,3.36
2011-03-14,0.2936722694982319,9.041935483870967,3.36
2011-03-15,0.29446201909974973,9.04516129032258,3.33
2011-03-16,0.29525176870126757,9.048387096774194,3.22
2011-03-17,0.2960415183027854,9.051612903225806,3.25
2011-03-18,0.29683126790430325,9.05483870967742,3.28
2011-03-19,0.2976210175058211,9.058064516129033,3.28
2011-03-20,0.29841076710733894,9.061290322580644,3.34
2011-03-21,0.2992005167088568,9.064516129032258,3.34
2011-03-22,0.2999902663103746,9.067741935483872,3.34
2011-03-23,0.30078001591189246,9.070967741935483,3.36
2011-03-24,0.3015697655134103,9.074193548387097,3.42
2011-03-25,0.3023595151149281,9.077419354838709,3.46
2011-03-26,0.30314926471644593,9.080645161290322,3.46
2011-03-27,0.3039390143179638,9.083870967741936,3.47
2011-03-28,0.3047287639194816,9.087096774193547,3.47
2011-03-29,0.30551851352099946,9.09032258064516,3.5
2011-03-30,0.3063082631225173,9.093548387096774,3.47
2011-03-31,0.30709801272403514,9.096774193548386,3.47
2011-04-01,0.307887762325553,9.1,3.46
2011-04-02,0.3091678787296738,9.096666666666666,3.46
2011-04-03,0.3104479951337945,9.093333333333334,3.45
2011-04-04,0.3117281115379153,9.09,3.45
2011-04-05,0.31300822794203603,9.086666666666666,3.5
2011-04-06,0.3142883443461568,9.083333333333332,3.56
2011-04-07,0.3155684607502776,9.08,3.58
2011-04-08,0.31684857715439835,9.076666666666666,3.59
2011-04-09,0.31812869355851914,9.073333333333332,3.59
2011-04-10,0.3194088099626399,9.07,3.59
2011-04-11,0.32068892636676066,9.066666666666666,3.59
2011-04-12,0.32196904277088145,9.063333333333333,3.52
2011-04-13,0.3232491591750022,9.06,3.49
2011-04-14,0.324529275579123,9.056666666666667,3.51
2011-04-15,0.3258093919832437,9.053333333333333,3.43
2011-04-16,0.3270895083873645,9.05,3.43
2011-04-17,0.3283696247914853,9.046666666666667,3.4
2011-04-18,0.329649741195606,9.043333333333333,3.4
2011-04-19,0.3309298575997268,9.04,3.39
2011-04-20,0.33220997400384755,9.036666666666667,3.43
2011-04-21,0.33349009040796834,9.033333333333333,3.42
2011-04-22,0.33477020681208913,9.03,3.4050000000000002
2011-04-23,0.33605032321620987,9.026666666666667,3.4050000000000002
2011-04-24,0.33733043962033066,9.023333333333333,3.39
2011-04-25,0.3386105560244514,9.02,3.39
2011-04-26,0.3398906724285722,9.016666666666666,3.34
2011-04-27,0.341170788832693,9.013333333333334,3.39
2011-04-28,0.3424509052368137,9.01,3.34
2011-04-29,0.3437310216409345,9.006666666666666,3.32
2011-04-30,0.34501113804505523,9.003333333333334,3.32
2011-05-01,0.346291254449176,9.0,3.31
2011-05-02,0.34707829837865156,9.003225806451614,3.31
2011-05-03,0.3478653423081271,9.006451612903225,3.28
2011-05-04,0.34865238623760264,9.009677419354839,3.25
2011-05-05,0.34943943016707824,9.012903225806452,3.18
2011-05-06,0.3502264740965538,9.016129032258064,3.19
2011-05-07,0.3510135180260293,9.019354838709678,3.19
2011-05-08,0.35180056195550485,9.022580645161291,3.17
2011-05-09,0.3525876058849804,9.025806451612903,3.17
2011-05-10,0.35337464981445593,9.029032258064516,3.23
2011-05-11,0.3541616937439315,9.032258064516128,3.19
2011-05-12,0.35494873767340707,9.035483870967742,3.22
2011-05-13,0.3557357816028826,9.038709677419355,3.18
2011-05-14,0.35652282553235815,9.041935483870967,3.18
2011-05-15,0.3573098694618337,9.04516129032258,3.15
2011-05-16,0.3580969133913092,9.048387096774194,3.15
2011-05-17,0.3588839573207848,9.051612903225806,3.12
2011-05-18,0.35967100125026036,9.05483870967742,3.18
2011-05-19,0.3604580451797359,9.058064516129033,3.17
2011-05-20,0.36124508910921144,9.061290322580644,3.15
2011-05-21,0.362032133038687,9.064516129032258,3.15
2011-05-22,0.3628191769681625,9.067741935483872,3.13
2011-05-23,0.3636062208976381,9.070967741935483,3.13
2011-05-24,0.36439326482711365,9.074193548387097,3.12
2011-05-25,0.3651803087565892,9.077419354838709,3.13
2011-05-26,0.36596735268606473,9.080645161290322,3.07
2011-05-27,0.36675439661554027,9.083870967741936,3.07
2011-05-28,0.3675414405450158,9.087096774193547,3.07
2011-05-29,0.3683284844744914,9.09032258064516,3.0599999999999996
2011-05-30,0.36911552840396694,9.093548387096774,3.0599999999999996
2011-05-31,0.3699025723334425,9.096774193548386,3.05
2011-06-01,0.370689616262918,9.1,2.96
2011-06-02,0.372387890987597,9.096666666666666,3.04
2011-06-03,0.37408616571227604,9.093333333333334,2.99
2011-06-04,0.375784440436955,9.09,2.99
2011-06-05,0.377482715161634,9.086666666666666,3.01
2011-06-06,0.379180989886313,9.083333333333332,3.01
2011-06-07,0.38087926461099203,9.08,3.01
2011-06-08,0.382577539335671,9.076666666666666,2.98
